Cleaned_Tweet,Suicide
months ago my grandmother passed away months ago i got my heart completely broken months ago i almost attemâ,Potential Suicide post 
thatgroyper really tired everything lame gay nothing serious us ever going happen anâ,Potential Suicide post 
trying figure works,Not Suicide post
my life miserable,Potential Suicide post 
positive mental attitude today cant bad yesterday,Not Suicide post
good morning,Not Suicide post
yay found amy girl lil bonita im excitednow i go little girly things babes,Not Suicide post
i constantly amazed technology makes me wonder check rad song quottrippingquot,Not Suicide post
damn i fucking hate myself,Potential Suicide post 
snuggling bed my little babyahhhh,Not Suicide post
mhm ohh early me amp i feel like whatching open arms gary go,Not Suicide post
goobimama eventbox isnt best twitter client me simplicity allin makes me love,Not Suicide post
semblanceer ahhhh yeah i updates boring me quotunfollowedquot youll win take me holiday,Not Suicide post
lizzielib could mine grew my back fell,Not Suicide post
rt lisapryor millwallfc zampathelion fun day,Not Suicide post
vascopatricio vou ler atd foi uma maratona lets say im glad lol,Not Suicide post
laughter indeed best medicine whatever ur situation todayfind reason smile wholeheartedly god goodfaithfulamploves u lt,Not Suicide post
bradesposito want people like me dead dont want help me i canada israel germany i woâ,Potential Suicide post 
enjoyed ndubz gig last night finished early always bonus,Not Suicide post
i think tonight i dont care i nothing left i dont care i something great promising stripped past bone splinters pissed splinters i dont want happiness i dont want dreams i dont care i post note everyone desperately try stop me i know care i die dead i numb i longer scared hurt much i gotta go i nothing left i lot love give gone me i wanted someone hear me end,Potential Suicide post 
rt mylingo never get attach cause people wake different feelings everyday,Potential Suicide post 
ever feel empty pick number depending feel i could write my funeral speech point afew years i would forgotten anyway,Potential Suicide post 
cellobella dont my size r u,Not Suicide post
snowed okay theres enough build frosty snowed long cold might well snowenjoy day,Not Suicide post
yall im sad cause i keep seeing tweets invisible fact suicide note like i alreadyâ,Potential Suicide post 
rt bssons i hate feeling way i,Potential Suicide post 
glad see spring making comeback denver today,Not Suicide post
avalanchelynn hello gmrng wuzup hows twitterville i sleeping evrythings cool,Not Suicide post
richardbell nah i think going sideways best really helps dodging bullets,Not Suicide post
iâm done today like i want fucking kill myself,Potential Suicide post 
familychoice questions feel free email us salesjshopcouk send dm twitter,Not Suicide post
itâs nearly three years i still feel kyloben solo doesnât deserve redemption man killed owâ,Potential Suicide post 
right thats slytherin hufflepuff ravenclaw sadly ill cut sprinâ,Potential Suicide post 
bat ko kinakaawaan sarili ko iniisip na yung iba naiisip din ako damn hate myself me ð,Potential Suicide post 
hillkath hey sent dm,Not Suicide post
silversun make milk look really good pictures,Not Suicide post
solareclipsek totally love pic singing finnish,Not Suicide post
jonathanrknight,Not Suicide post
catherinemarche ooh thats lovely,Not Suicide post
geuphers fully bloom hardships i love u,Not Suicide post
myselfmp aw im sorry try let get much obviously didnt deserve first pâ,Potential Suicide post 
showcase quick vip romm thursday,Not Suicide post
matthewturnbull me tony price fab,Not Suicide post
hey mariedees welcome twitter feed gmornin ya,Not Suicide post
tradinggoddess wow experience dont need see repeated glad ok,Not Suicide post
embedding google calendar site actually seriously easy,Not Suicide post
i die little inside i see old person eating alone restaurant,Potential Suicide post 
i hate repeating myself dawg like damn,Potential Suicide post 
running option physically hurts breathe i dream goal ambition motivation i tried i hospital er psyche ward therapist difference medications my girlfriend person i really loved wasnt family wants go drugs drink whatever fuck leaving me nothing i cant least talk i feel hurts hurts much much pain i dont know i born suffer like god real wants me dead i,Potential Suicide post 
words,Not Suicide post
therealskpbarcelona spainrt kbdoll even though dont want know believe youâre anymore know stâ,Potential Suicide post 
theshortestfuse coolgood hearthanks sharing,Not Suicide post
jacksonwang debuted weeks billboard social #,Not Suicide post
julouille let me hate myself god fucking damn,Potential Suicide post 
woth ddsboston bostongrlkayte going sunny celcius friday sunny saturday sweet,Not Suicide post
ianaspin i second ian thank,Not Suicide post
reality social media donât care mans mental health donât want speak heâs dead lets real,Potential Suicide post 
everything gold,Not Suicide post
became hot persistent days resting heavily tired flowers,Potential Suicide post 
lessismoh lavendricks used one keeping live wild animal cage surrounded screaming drunkâ,Potential Suicide post 
im tired everything i die,Potential Suicide post 
still listening great music i got yesterday amber pacific awesome,Not Suicide post
going day care get see hannah good day i hope anyway,Not Suicide post
vindiekins i almost feel bad my next post almost,Not Suicide post
ladyparadis thanks certainly better midday yesterday one point i walking around like kryten red dwarf,Not Suicide post
cyberpreneur welcome quottwitterspherequot i like name fun get super addicting,Not Suicide post
lindseylobo know i love,Not Suicide post
every day brings me closer death i years old working student i want kill myself life unbearable i skills talents i absolutely boring person i spend my free time alone i really want find girlfriend i see way could i find one i useless like i used go away sadness listening music days i bored music want go sleep never wake,Potential Suicide post 
drrnlvngstn i clouds come i fear i may late enjoy weather,Not Suicide post
chipcoffey great hear thanks chip,Not Suicide post
rt mileycyrus completely devestated fires affecting my community i one lucky ones my animals love my life madeâ,Not Suicide post
ah pop good,Not Suicide post
rccgd im leaving laptop home ill put tweetie i get dms gmail new friends always send me email addy,Not Suicide post
thank god bre slept took ava daycare,Not Suicide post
i dont know i keep trying my home life always incredibly toxic my parents always major contributor my depression anxiety i feel like worthless individual i dont job i anything i motivation even leave house let alone my bed my life shit like continued happen me sometimes i look pills i take consider shoving handful my mouth ending time i lie my bed wish i could die without actually kill myself i coward i tired hearing things gonna get better,Potential Suicide post 
amazing night great dayi love my heels,Not Suicide post
tired living life fear liked fuck iâm really livinâ people,Potential Suicide post 
jami probably drunk driver coming onto oncoming traffic,Potential Suicide post 
rt graceechang me knowing damn well i hate myself taking anyways,Potential Suicide post 
im my fucking meds bc my family thought best since i got sick tired slâ,Potential Suicide post 
rt princessjmee never war i get terrible nightmares wake me fighting my life #thisisus #ptsd,Potential Suicide post 
babydestiny whats twitter oh twitter yea my poor little birdie comes fail whale,Not Suicide post
im gonna fucking die im tired investing everything person throw i madeâ,Potential Suicide post 
yo sometimes iâm tired living,Potential Suicide post 
rt jimmieathletics congratulations jimmiefootball ol anthony vereen named gpac football first team offense #gojimmiesâ,Not Suicide post
aspiring happy blacyoungstafb every aspect life,Not Suicide post
rt zachstafford i used check forbes list every year see i could find husband,Potential Suicide post 
shtbritttsays que screamo voice cut my wrist black my eyes,Potential Suicide post 
gukdaydream i need work project people count me i fucking nothing i think itsâ,Potential Suicide post 
hear daveoshry together could start sort terrible business pays nothing sucks wiâ,Potential Suicide post 
rt mysky find someone makes happy enjoy life fair give many opportunities,Not Suicide post
phatelara debbs pw mse congrats,Not Suicide post
thekingscosmosmy sister ruined night even started i dont even want anymore,Potential Suicide post 
rt raptors i quit i keep grinding still fucking suck i life something i still fucking suck iâm never gonna get faâ,Potential Suicide post 
i cant take anymore might well end sorry life,Potential Suicide post 
i wanna kill myself like literally mentally emotionally,Potential Suicide post 
dogcafesco ðði dont want anymore i done ruined good thing,Potential Suicide post 
trying spaz twitter posts love my destroytwitter easier read spaz,Not Suicide post
wouldnt want think anything immoral,Not Suicide post
tweet tweet tweet tweet goodniiiight,Not Suicide post
homerunderbyemojust checked homerun derby ep slaps,Potential Suicide post 
everything,Not Suicide post
laurenfisher obey last fm algorithm maybe would turn really like scooter gave chance,Not Suicide post
bootylove haha i wish i iâm tired living i wanna go south,Potential Suicide post 
abipips true nothing induces madness like trying figure ppl hope today yr little one wonderful x,Not Suicide post
ha internet explorer nice me mozilla firefox mean,Not Suicide post
tired kickin bitches house ð bout ready go sleep wake ting forever,Potential Suicide post 
rt ghoulrunnings ive said ill say againwaluigi suckshe sounds looks funny thats ittheres nothing else tâ,Potential Suicide post 
rt mohammadirashid year devastating earthquake city young mother says amp family still dont shelterâ,Potential Suicide post 
sexysubkaylee heh heh dirty always good gurl i like think,Not Suicide post
gettin internet gonna finish my hair,Not Suicide post
failing i feel i wish suicide funded government i wish guns suicide would like condoms given teens going right i wish euthansia legal i wish i wouldnt fear buying poison gun black market i get caught my life would get worse,Potential Suicide post 
morning i slacked two days twittering i finished good run ready start new day,Not Suicide post
i looking someone talk i want die,Potential Suicide post 
i donât hate player i hate game jess glynne probably awesome person i kill myself someonâ,Potential Suicide post 
i loving i read #vr love,Not Suicide post
watched chuck going mel soon,Not Suicide post
brigham oh thank im glad shutting stuff across street anymore little slower w unpacking tho,Not Suicide post
suesshirtshop sue,Not Suicide post
shytideenglandyeah i dont want anymore hurts much im struggling much,Potential Suicide post 
bookthingo i want read p jamess children men though interesting premise yay futuristics,Not Suicide post
i worried i might lose tomorrow i cant really tell anyone fear worrying i one year eleven months clean sober tomorrow i going my methadone maintenance program two weeks i going walk home court pack my things clean my apartment say my goodbyes much i really hoping doesnt come i hope fucking much i dont want kill myself i dont want anyone i strong enough start my chest feels like going explode anxiety i feel like i going break crying front judge tomorrow practically pleading my life,Potential Suicide post 
realizing i get surprise certified letter stating i sole heir wealthy familys inhâ,Not Suicide post
lfta blur song #,Not Suicide post
chelsv morning,Not Suicide post
tired waking tired wanting die tired everything,Potential Suicide post 
me sees car crash i wonder crashed,Potential Suicide post 
i want sleep much gone wrong years still getting worse i change going around me invariably affect me i dont want give chance i go sleep dont wake i wont deal,Potential Suicide post 
seerysm im always cheerful sunny atl means ill get heck away time,Not Suicide post
booked leawoodward i baby scan tomorrow exciting cant wait see little girl,Not Suicide post
liter spent much money tonight literally one worst nights looo g time literally straighâ,Potential Suicide post 
rt beebri quueennm girl i wanna look good im pregnant lol congratulations beautiful i hope girl like u,Not Suicide post
tonywade iantalbot im size i wear orthotics my footwear im attempting walk i get away,Not Suicide post
my heart wants die i struggling depression trauma suicidal thoughts years honestly things havent painful i sitting alone alienated confused depressed miserable helpless alone honestly point i hate life,Potential Suicide post 
strekr wasnt miami valley already frozen winter,Not Suicide post
wyattearpla iâm actually tired itâs like living home troubled deceitful child always wiâ,Potential Suicide post 
rt floweryhillside i donât want come my account literally thing keeping me miserable existence isâ,Potential Suicide post 
dodgerblueopj good hes florida mts graduates late aprilhe really happy,Not Suicide post
ddlovato ive school since yesterday good morning demi lovato im fan canada,Not Suicide post
approved cute townhome much closer work im excited,Not Suicide post
rt rosettalind brettcmajor im sick tired listening justintrudeau sayingfirst foremost work câ,Potential Suicide post 
correct i one absolutely want live country fucking chuds i believe â,Potential Suicide post 
i wish i still my simpsons shower radio,Not Suicide post
i love everyone else i hate myself,Potential Suicide post 
tired living like,Potential Suicide post 
missy dude i jealous goin buy thurs,Not Suicide post
joemcintyre welcome tweetlt lets get,Not Suicide post
callmesynapse maddierawrk thatâs works truly believe i feel sorry doâ,Potential Suicide post 
spanx happy birthday eat something good,Not Suicide post
seamushayes get worse come winter chai goldfish bowl best,Not Suicide post
rt jenanmoussa i love see palestinians dancing fun good amppositive stories deserve go viral well,Not Suicide post
,Potential Suicide post 
ever feel like everyones better without me fucking,Potential Suicide post 
markdan nope ahm preps props,Not Suicide post
tairrieb recorded,Not Suicide post
glinner twittering task rtm,Not Suicide post
gt katyperry june portugal i dont know i go another catching song,Not Suicide post
i want painter,Not Suicide post
my cowley road ep rereleased itunes dont get,Not Suicide post
i give sleeping im even trying anymore i hate myself damn,Potential Suicide post 
fortitia hows cooking looking forward taste later,Not Suicide post
words still write lame burritos tea,Not Suicide post
phone againn,Not Suicide post
rt mitchlafon day november th queen release single somebody love,Potential Suicide post 
fucking cold ð i hate working tf i sign ðwhy i myself damn,Potential Suicide post 
lozzablack time always listen wise friend kate shes coolest,Not Suicide post
rt nickboynton i donât want die know nothing certain iâm tired keeping quiet playerstribune carbombboâ,Potential Suicide post 
one month today well plane headin ny,Not Suicide post
saraaykrt jaemverse i dont want anymore,Potential Suicide post 
peterwalker videoscommentampsuscribe amp follow me cheers x,Not Suicide post
iowa happy yea,Not Suicide post
damn really hate myself rn,Potential Suicide post 
tdmphotography oh sorry would replied earlier flickin thru my wonderful new book ideas,Not Suicide post
rt lucero i wanna let known my homies ever life feel like yâall alone tired living iâm texâ,Potential Suicide post 
sarahstanley hey well looking forward meeting cultvines dc,Not Suicide post
qwerxcvjklim done trying happy never helped never got approved my parents meaning i stop makes me happy honestly i dont want try anymore im going sit fail keep failing one day death finally falls upon me,Potential Suicide post 
duanejackson trim nambu bitly tweetdeck,Not Suicide post
single mommy never part plan i wake everyday my shitðªð,Potential Suicide post 
awake two hours would like go back sleep,Not Suicide post
tomfelton amazing i saw broadway original cast,Not Suicide post
peerug puffing dragon ey,Not Suicide post
schulman yes i obviously one national aviary answers phone,Not Suicide post
rt bksportstalk glass half fullglass half empty #mizzou team legitimately pretty good go sports referenceâs âsimpleâ,Not Suicide post
time turn go sleep i think big day goodnight,Not Suicide post
katpaps well i must say comments even got me thinking hair looks rather sexy i doubt much chance resist,Not Suicide post
rt barcatimes ð bartomeu âtoday celebrates two honours legendary career th pichichi goalscorer award di stâ,Not Suicide post
iwrotethis nope caught me cheers im sure i hope sunshine holds,Not Suicide post
shmerkle i went csi my episode dollhouse needed redownloading thats done i watch rest,Not Suicide post
lovely cuddle tali virgo,Not Suicide post
home gym going sit butt day,Not Suicide post
going fourmile night runaround old b bomber andersen gotta tape my ankles,Not Suicide post
everything temporary evil eyes shivrit,Not Suicide post
petesanderson little fancy good i told,Not Suicide post
sickness back work,Not Suicide post
i woke feeling great,Not Suicide post
tired everything,Not Suicide post
mousehunt hi,Not Suicide post
cherryspoon dont get upset worth besides enough people accounts popular,Not Suicide post
carriee got picture my boyfriend thats,Not Suicide post
ladytwitster ah since old days orangeface still around,Not Suicide post
ktten lol supp aint fucked,Not Suicide post
rt coreybbrooks living hood really tough i tired losing people violence i give,Potential Suicide post 
i want kill myself i really want fucking kill myself im done,Potential Suicide post 
oh somebody kill me please,Potential Suicide post 
picknicole yes indeed copious amounts whipped cream,Not Suicide post
i empty i focusing school work every day i feel worse worse last night i got blackout drunk didnt help made me feel even worse i know my loneliness comes mostly my conscious decisions cant live people cant live without reason i havent killed myself yet i fear pain,Potential Suicide post 
raiha glad hear youre making switch disappointed,Not Suicide post
i wanna fucking kill myself,Potential Suicide post 
please retweet my weed g board coolest adult cartoon im tired living worst times my life pleaâ,Potential Suicide post 
bakery buy yummy stuff,Not Suicide post
cleaning start anew,Not Suicide post
rewards credited huobi account working days,Not Suicide post
marthastewart proof,Not Suicide post
brisbanegirl hen style may may involve making promises people need deliver concerns,Not Suicide post
ocrunk keep good work,Not Suicide post
sashamcfly niiiceee,Not Suicide post
today i almost kill myself i almost hit car thank lord,Not Suicide post
shishirjhatvmohandaspai pmoindia narendramodi sir please tell suit respected pm tell âgive me days things donât improve burn me aliveâ yes anyone say come shall burn u i didnât see anyone disassociating line,Potential Suicide post 
extremely tired everything i want die,Potential Suicide post 
rt conteia iâm fucking lunatic i get angry itâs terrible i need work bad i end something fuâ,Potential Suicide post 
thefutureheads congratulations dave enjoy little un xxx,Not Suicide post
ddlovato good morning,Not Suicide post
tommcfly yummy starbucks,Not Suicide post
death scares tf me i ready die,Potential Suicide post 
i hate myself bc everything damn music video,Potential Suicide post 
tommcfly i went starbucks earlier,Not Suicide post
gene acting bit odd lately i told leper wanting jump tree join supeâ,Potential Suicide post 
i drinking crying my night away usual find my ex fucking girl bed i tried killâ,Potential Suicide post 
beatlestweets wow awesome pics,Not Suicide post
death cant much worse i male my girlfriend left i staying late office long i cant cope workload friends non existent hate my family hate me i want die i dont see option point,Potential Suicide post 
rt treydiamonds hate fact iâm damn near forced figure everything myself must done,Potential Suicide post 
good morninggood morninggood moooooorning,Not Suicide post
chrisdjmoyles im gonna watch tm c wot hav say bout twitter yor show brilliant ever mornin katie x,Not Suicide post
heres my latest tune leave comment please,Not Suicide post
fitnessbox watch space sure viable yet possibly though,Not Suicide post
abigailbrookewith jake rt yxrxx i desperately whole heartedly dont want anymore,Potential Suicide post 
ninaneverknew me i want overnight drinking session friends i mean em haha,Not Suicide post
blunt honest girl wants take care family passionate boy perusing dreams beingâ,Not Suicide post
kill myself yet i guess something proud i gun my roommate found planning finding lonely bridge end i really want reason live i find one,Potential Suicide post 
sotodance photoboth blackampwhite wayyy old call herbert lol i love hes like living legend gotta love berlin lt,Not Suicide post
pixiepan lol friend,Not Suicide post
geo wont miserable least weeks tho,Not Suicide post
tom chaplin marry me please i melt hahaha pearshapebodygirl stopped talking me yes,Not Suicide post
im attempting make hot cross buns bella amp ari,Not Suicide post
summarize happened boc chrismas special chaos still mile phakphum romsaithong calm everything,Not Suicide post
eliseland replied someone dougie replied quite people afternoon never know besides fun,Not Suicide post
i hate myself much i little friends introvert never girlfriend bullied lot rejected lot please help me i want kill myself would make go away i dont deserve earth since i write notes paper worthless stupid i i want become someone field i stupid get anyways jobs nowadays need social people i one ive never girlfriend i want one virgin bad thing i could never live feeling i dont friends girlfriend wheni adult i plan committing suicide please help me thanks reading,Potential Suicide post 
logmanlincoln nert lolithicc im sorry i really want my life end im sorry i drank week straight i sorry hard say gonna fineâ,Potential Suicide post 
bruh i hate myself hot guy iâll never see says one thing me iâm like damn would cute toâ,Potential Suicide post 
makes me hate myself i didnt damn thing,Potential Suicide post 
i overthink everything my life make myself believe things i end disappointed stressed ugh,Potential Suicide post 
joyciebo hi cutie welcome twitternation,Not Suicide post
chilling wit my boy,Not Suicide post
